Iteration,Loss_D,Loss_G
0,1.4732,2.8857
50,0.0244,5.4014
100,0.1598,6.0077
150,0.1026,9.4717
200,0.8723,7.6352
250,0.421,3.8125
300,3.1748,2.8868
350,3.0435,7.1844
400,1.3131,3.9154
450,2.1732,4.647
500,2.0132,6.2756
550,1.5774,4.3449
600,2.4916,8.4923
650,1.5322,2.1785
700,1.7926,5.0585
750,3.2103,7.3094
800,2.4843,1.6498
850,2.2861,5.1703
900,2.2554,4.2586
950,0.833,4.1567
1000,2.3256,1.5632
1050,2.972,8.2845
1100,1.7726,4.5034
1150,1.7177,1.1826
1200,1.9034,5.04
1250,2.8821,2.645
1300,1.8677,2.2613
1350,2.8169,4.6591
1400,1.2833,2.3491
1450,1.1415,3.5784
1500,1.4262,4.3458
1550,3.7088,4.2349
1600,2.6215,0.8177
1650,1.3042,3.2907
1700,2.2528,2.3088
1750,1.5274,3.4403
1800,2.0049,2.5887
1850,1.7275,1.3009
1900,1.3649,2.4184
1950,2.5371,5.0072
2000,3.074,7.5415
2050,2.8753,2.0302
2100,2.5339,0.9313
2150,1.575,3.5595
2200,1.3635,2.3347
2250,1.7574,3.9703
2300,2.4911,6.9155
2350,1.9895,2.4131
2400,3.1097,3.3993
2450,0.8742,2.5406
2500,1.6964,5.5008
2550,1.6554,1.9172
2600,1.8169,4.1086
2650,1.7181,2.2681
2700,1.8355,1.2357
2750,3.0166,1.7742
2800,2.1339,8.7026
2850,1.1573,1.8844
2900,1.4355,1.9212
2950,1.5783,3.2454
3000,2.1463,0.9966
3050,2.1235,0.938
3100,2.0947,0.6632
3150,1.344,3.2318
3200,1.7757,2.4682
3250,1.8006,1.1662
3300,1.9929,2.4067
3350,2.5184,4.3496
3400,1.5207,1.4176
3450,1.4808,1.004
3500,1.7674,2.8301
3550,2.372,2.8299
3600,1.3713,2.6561
3650,2.7884,3.7057
3700,1.873,2.1656
3750,2.1261,1.1812
3800,1.8874,0.5713
3850,3.2176,0.9318
3900,2.9857,3.1613
3950,2.1033,1.9905
4000,2.0615,2.5766
4050,1.8822,1.1475
4100,1.9348,1.7994
4150,1.8041,1.1773
4200,2.0591,2.3985
4250,1.7952,3.7557
4300,1.9537,1.4962
4350,2.4604,1.0649
4400,1.5459,1.5638
4450,2.144,2.3921
4500,1.4469,4.2023
4550,1.863,1.8072
4600,1.7043,1.3765
4650,1.4073,2.0247
4700,1.1856,2.0937
4750,2.0429,1.7907
4800,0.9971,3.0555
4850,1.8175,2.3279
4900,1.3448,1.9302
4950,1.7674,2.5405
5000,2.0441,0.7701
5050,1.7227,1.7718
5100,2.089,4.2282
5150,1.2135,1.5882
5200,1.3188,2.5593
5250,1.6446,1.0263
5300,2.251,1.2371
5350,2.0755,3.091
5400,1.4274,1.0827
5450,3.1728,0.9936
5500,2.1195,1.6842
5550,1.4435,2.5538
5600,2.231,2.1882
5650,1.8527,2.4654
5700,1.7406,1.2033
5750,1.6194,3.2427
5800,1.7258,2.4798
5850,2.1231,2.157
5900,1.2635,1.7253
5950,1.6131,3.6597
6000,2.2629,2.5877
6050,1.4142,2.2598
6100,1.9015,1.28
6150,2.118,0.6562
6200,2.032,0.607
6250,2.0929,1.3654
6300,1.6765,4.0385
6350,2.056,0.7342
6400,1.9318,1.9401
6450,1.0202,2.7613
6500,1.9827,1.313
6550,2.1763,2.8481
6600,2.2468,3.5641
6650,1.7823,1.2814
6700,1.6717,3.1131
6750,1.4206,2.9819
6800,1.4193,0.8927
6850,1.3772,1.3842
6900,1.4407,1.596
6950,1.2027,1.8716
7000,1.7268,0.808
7050,1.8378,1.26
7100,1.6372,0.8399
7150,2.5602,0.9271
7200,1.5457,1.2963
7250,1.6546,2.0286
7300,1.4478,3.5504
7350,2.0071,0.6504
7400,1.6805,3.682
7450,1.9803,2.8824
7500,2.7427,1.7639
7550,1.6135,3.8408
7600,1.1297,2.672
7650,1.9276,1.3311
7700,1.5576,1.051
7750,2.3885,0.7607
7800,1.5888,0.7766
7850,1.4351,3.5072
7900,1.5614,0.7298
7950,1.5366,4.6122
8000,1.9159,1.8587
8050,1.2868,1.0009
8100,1.3343,1.7267
8150,1.373,2.374
8200,2.3635,3.3571
8250,2.2835,4.2731
8300,1.6656,2.1512
8350,1.6395,2.7482
8400,1.6606,0.6183
8450,1.4919,2.021
8500,1.8172,0.8696
8550,1.0338,2.35
8600,1.6745,0.8286
8650,1.255,1.7371
8700,1.4771,1.3571
8750,1.8852,0.6552
8800,2.0217,2.7261
8850,1.6632,1.0381
8900,1.2417,3.8866
8950,2.3362,3.0305
9000,1.8281,2.8536
9050,1.3819,0.7989
9100,1.4443,1.4639
9150,1.6238,1.1075
9200,1.4262,3.3713
9250,1.491,1.3354
9300,1.4512,3.9683
9350,1.1581,3.3917
9400,1.4697,3.9334
9450,1.291,1.1727
9500,1.2482,1.2651
9550,0.9118,0.9165
9600,1.1421,0.8261
9650,1.3323,1.1045
9700,1.4923,1.9552
9750,2.2984,0.7659
9800,2.1893,2.9121
9850,1.8892,2.5901
9900,1.3722,1.2344
9950,1.9822,2.6837
10000,1.9567,2.9271
10050,1.118,1.4252
10100,1.1772,1.4562
10150,1.7986,2.3175
10200,1.1658,1.0567
10250,1.389,2.1404
10300,1.7273,2.1454
10350,1.0113,1.9013
10400,1.5146,1.7829
10450,1.1594,3.6354
10500,1.3638,1.7858
10550,1.7709,0.9513
10600,0.3489,0.6424
10650,1.4258,0.9981
10700,1.2571,4.2653
10750,0.9734,2.3523
10800,1.9997,0.4754
10850,1.0297,2.1963
10900,1.4332,1.812
10950,1.0903,2.8338
11000,1.3605,1.4451
11050,1.5605,1.2616
11100,1.7599,1.9051
11150,1.0627,2.0782
11200,1.2187,2.8274
11250,1.3209,4.5968
11300,1.2107,1.4002
11350,0.8292,0.7447
11400,1.3298,1.2345
11450,0.8261,3.2756
11500,0.8022,3.2159
11550,1.9037,0.456
11600,0.7842,2.962
11650,1.1036,2.4183
11700,1.0413,2.6693
11750,0.9037,2.8542
11800,1.0062,1.4872
11850,0.9386,3.7927
11900,1.2245,1.1113
11950,1.0004,0.9036
12000,1.0488,1.3392
12050,1.0395,0.8613
12100,0.9803,2.0753
12150,1.4375,1.0764
12200,1.2886,2.0148
12250,1.7114,4.5203
12300,1.3256,3.1742
12350,0.6612,1.465
12400,1.077,1.0224
12450,1.3215,4.2944
12500,0.9815,3.1618
12550,1.0092,4.5552
12600,0.8212,3.3075
12650,0.7787,3.2029
12700,1.0185,1.5596
12750,1.0387,1.4456
12800,0.8369,1.3506
12850,1.0227,1.2808
12900,0.9958,0.5325
12950,0.9258,2.6154
13000,1.0195,1.763
13050,0.876,1.7422
13100,1.2042,1.5053
13150,1.3012,2.8568
13200,0.9329,1.0666
13250,1.3206,3.3453
13300,1.34,3.1426
13350,1.3385,2.0102
13400,1.3978,1.728
13450,1.1291,2.2364
13500,1.341,1.5272
13550,1.0992,1.9914
13600,0.5851,1.3337
13650,1.951,1.4394
13700,1.3318,2.3339
13750,0.8449,0.5556
13800,1.0924,1.6604
13850,0.963,3.2179
13900,0.7445,1.1593
13950,1.3381,2.6278
14000,2.136,1.262
14050,0.8485,1.8551
14100,1.1726,2.8612
14150,1.3376,3.8001
14200,0.9681,2.4131
14250,0.8126,2.1203
14300,1.0872,4.4198
14350,0.9476,2.2954
14400,0.5793,0.8014
14450,1.4251,4.8707
14500,1.0691,1.4165
14550,0.8223,2.2748
14600,0.852,0.7909
14650,1.0951,1.4591
14700,1.5162,1.2296
14750,1.3293,1.5
14800,1.4999,3.4642
14850,1.0741,3.6882
14900,1.8256,4.6585
14950,1.2308,3.5478
15000,1.2314,1.98
15050,1.3689,3.5606
15100,1.3265,1.4042
15150,1.3162,2.6298
15200,1.3325,2.8156
15250,0.9491,1.8592
